hendrik j. monkhorst;esper  dalgaard
george allen baker;a. r. plastino
m.  terasawa;philip l. pepmiller
helena  aksela;m.  jäntti
h.  marynissen;w.  van dael
samuel l. mccall;y.  claude
j. d. poll;j. h. richardson
e. a. watson;m.  cormier
nancy d. piltch;shin sheng  tarng
arno  holz;h. b. singh
pierre  chevallier;j. p. mossé
gervais  chapuis;j.  slak
eshel  ben-jacob;zeev  schuss
m.  hugon;b.  sayer
f. b. dunning;g. b. mcmillian
g. a. berg;b.  styczen
donald harvey stork;z.  guzik
andrzej  pȩkalski;anne m. dougherty
e.  bava;a.  de marchi
yitzhak  rabin;danielle  grimbert
z.  guzik;richard a. carrigan
rubén d. piacentini;david a. micha
takasi  endo;tsuneo  hashi
amina  taleb;s.  liberman
d. h. schneider;uwe  wille
mary e. neubert;edward  gelerinter
d.  otero;g.  zannoli
mark d. havey;ludwig c. balling
r. k. janev;d. s. belić
james ray peterson;young k. bae
y. t. hui;h. m. lai
n. c. sil;n. c. deb
yasukage  oda;m. m. gombert
david j. pegg;m. l. gaillard
michel  gross;serge  haroche
h. e. hentschel;itamar  procaccia
m. t. yin;john e. northrup
g. b. crew;j. j. ramos
daniel  ben-avraham;haim  sompolinsky
w. b. westerveld;john s. risley
n. n. nedeljkovic;r. k. janev
hiroshi  furukawa;kurt  binder
a. n. ryabtsev;y. n. joshi
m. f. ross;hugh e. dewitt
k. p. leung;thomas w. mossberg
a. g. sgro;m. g. tuszewski
m.  rothschild;m. w. wilson
malcolm r. beasley;d.  d'humieres
carlos a. cajas;jack b. swift
pierre  meystre;d.  hammonds
wolf  seka;jack  wilson
r. h. pratt;a.  bechler
n. s. kopeika;c. s. ih
winthrop w. smith;j. c. pratt
man  mohan;ram k. varma
alexander  tenenbaum;giovanni  ciccotti
mary e. neubert;thomas e. lockhart
d. h. schneider;g.  nolte
l.  krause;p.  skalinski
p. m. gram;h.  sharifian
lawrence s. schulman;j. y. gao
k.  hamano;takuji  nomura
robert e. lavilla;albert  henins
seishi  takagi;s.  tsurubuchi
m. b. gaspar;s.  de barros
s.  tsurubuchi;toshihiro  iwai
n. a. cherepkov;dragomir m. davidović
ioan  motoc;jeremiah n. silverman
r.  simon;e. g. sudarshan
james m. hall;s.  hagmann
f. l. freire;n. v. de castro faria
a. g. trigueiros;ulf  litzén
m.  meichle;benjamin m. ocko
patrick  richard;hiroyuki  tawara
m.  van thiel;arthur c. mitchell
laurance d. jacobs;o.  renner
p. j. martin;jerry l. peacher
k.  kaeser;a.  rüetschi
j. m. woolsey;h. q. porter
michael a. horne;anton  zeilinger
m. salim banna;r. d. mathews
roman  laubert;g. a. glass
blaine e. norum;hugh p. kelly
alain  catherinot;c.  chaleard
u. e. becker;stephen h. southworth
y.  guichard;f.  hardouin
s.  huldt;leif  liljeby
peter l. lee;k. g. schiessel
paul  indelicato;pierre  chevallier
alberto  gras-marti;j. a. vallés-abarca
d. h. schneider;r. du bois
wolfgang p. schleich;pierre  meystre
h.  abachi;e.  charles
jack  sugar;william l. rowan
alfred  müller;alfred s. schlachter
daniel  kleppner;randall g. hulet
robert t. poe;sandor  trajmar
charles k. rhodes;m.  rothschild
per a. amundsen;k.  aashamar
r.  beigang;k.  lücke
e.  ledinegg;e.  schachinger
abraham  ben-reuven;paul d. kleiber
s.  teitler;kia l. ngai
sidney  yip;l.  letamendia
charles  rosenblatt;m.  meichle
s.  huldt;marianne  breinig
c. j. david lin;james m. hall
n. v. de castro faria;ricardo j. horowicz
jan v. sengers;jayanta k. bhattacharjee
joal  newcomb;d. c. gregory
h.  villinger;ingrid  kuen
b. c. robertson;dezsö  horváth
a.  calles;m. a. ortíz
e. b. saloman;john w. cooper
j. p. chabrat;p.  joubert
l.  wolniewicz;k.  dressler
l. a. lompre;claude  manus
p.  joubert;j. p. chabrat
u.  hefter;a.  mattheus
franco  wanderlingh;rita  giordano
a.  Żywociński;j.  stecki
tadayoshi  doke;s.  uchiyama
j. p. daudey;ph.  durand
anton  zeilinger;gerald  badurek
m. d. hasinoff;dezsö  horváth
p.  joubert;sow hsin chen
benjamin m. ocko;cyrus r. safinya
santosh k. srivastava;yuk l. yung
david j. land;donald g. simons
l. j. yu;robert j. birgeneau
c. r. mandal;n. c. sil
m.  merabet;t. k. bose
g. d. alton;s. b. elston
indrek  martinson;boël  denne
c.  camhy-val;k. w. hill
dwight  duston;j. l. davis
g. a. murray;j. a. stone
claire ellen max;e.  fabre
paul l. devries;thomas f. george
tilmann d. märk;k.  stephan
doreen a. weinberger;shin sheng  tarng
david a. owen;ganesh  bhatt
h.  sanjeeviah;b.  rudraswamy
f.  arqueros;j.  campos
s. t. chen;josé  teixeira
maria  allegrini;j. j. leventhal
k. h. streng;peter m. zerwas
gerald t. moore;hazim  al-abawi
eric a. gislason;evelyn m. goldfield
giancarlo  baldini;norberto  micali
s. sunil kumar;charles  rosenblatt
u.  hefter;wilfried  meyer
