a.  huetz;d.  vichon
m.  bitter;szymon  suckewer
c. j. david lin;tom j. gray
lorenzo m. narducci;girish s. agarwal
s. e. kuhn;franz  howorka
lars  engström;bjarne  andresen
g. w. rogers;c. k. au
m. d. burrows;willis e. lamb
j. l. vuilleumier;f.  boehm
yoshihisa  fujiwara;s. j. wilk
peter w. langhoff;gy.  csanak
kingsley w. jones;patrick  richard
jose d. garcia;d.  ridders
edward a. mason;u.  weinert
r. f. stebbings;f. g. kellert
y. k. ho;m. s. dababneh
p. c. gane;a. j. leadbetter
k. l. allawadhi;natthi  singh
k. d. lain;ramarao  inguva
r. p. sharma;md.  salimullah
a.  bhattacharjee;john r. cary
s. n. jabr;robert w. hellwarth
yu kwon kim;tong w. shyn
petr  vogel;e.  bovet
gordon r. freeman;sam s. s. huang
simon j. fraser;raymond  kapral
takuzo  sato;hiroshi  kashiwagi
priti  khan;a. s. ghosh
david k. brice;b. l. doyle
werner  brandt;m. l. rustgi
ferenc  iglói;j.  kollár
jian min yuan;x. y. huang
ryusuke  kono;yoshinobu  izumi
m. d. fayer;james l. skinner
matthew s. lucas;l. b. bridwell
r.  vetter;o.  vallée
u.  fano;chris h. greene
marco  pettini;gian paolo tozzi
elliot p. kanter;nelson  cue
l.  sjögren;jean pierre hansen
andrzej  pȩkalski;jacek m. kowalski
s.  von goeler;n. r. sauthoff
m. a. piestrup;j. a. edighoffer
marlan o. scully;rodolfo  bonifacio
itzhak  webman;joel l. lebowitz
l. b. bridwell;quentin c. kessel
a.  bengtson;j.  campos
lawrence  wilets;ernest m. henley
a. j. leadbetter;marcel h. lambert
p. j. martin;james h. mcguire
padma kant shukla;karl h. spatschek
m. k. srivastava;swaraj s. tayal
hong tuan duong;j.  pinard
guntram  schröder;harald  king
sandor  trajmar;d. f. register
k. t. cheng;walter r. johnson
r. p. sharma;sunil k. sinha
j. a. tanis;w. w. jacobs
willard r. wadt;james s. cohen
chun c. lin;james o. phelps
m. aslam baig;s. p. mcglynn
james p. gordon;a. a. ashkin
ludwig c. balling;mark d. havey
t. h. jeys;r. f. stebbings
james d. hanson;t.  baer
josef  paldus;peter  otto
david  lieberman;frederick  raab
munehiko  nagano;kazunaru  tomishima
kenneth b. mcafee;r. s. hozack
douglas h. sampson;stephen j. goett
girish s. agarwal;robert  gilmore
b.  jacquot;r.  geller
edward a. hinds;w. e. frieze
a.  barth;lorenz s. cederbaum
james h. mcguire;p. j. martin
b.  jacquot;d.  van houtte
v. p. kaftandjian;j. c. keller
jayanta k. bhattacharjee;jan v. sengers
kuniko  maeda;h.  endo
p.  hautojärvi;m. t. manninen
james r. beckett;h. y. carr
george s. brown;fernando  parente
e.  alvarez;carl  nordling
f. b. dunning;g. f. hildebrandt
seth j. putterman;david m. ronis
mark d. havey;john j. wright
robert v. pyle;klaus h. berkner
j. l. dehmer;james d. hanson
d. d. johnston;james d. talman
s. c. goh;j. b. swan
vincent  mckoy;deborah a. levin
einar  hinnov;raymond j. fonck
w.  schubert;w.  schmidt
r. c. isler;l. e. murray
b. o. clark;stephen r. lundeen
s.  dousson;s.  bliman
mina  vajed-samii;dinh  ton-that
k.  sera;s. m. morita
thomas w. mossberg;e. a. whittaker
hirokane  kawakami;y.  sakagami
jacek m. kowalski;p.  clippe
j. p. miller;petr  vogel
c. h. sohl;k. e. miyano
w.  stodiek;k.  brau
arnold  russek;m.  vedder
k. h. van leeuwen;eric r. eliel
david  jasnow;denis a. nicole
d.  dowek;m.  barat
gabriel g. lombardi;peter l. smith
p.  cavaliere;claudio  leone
e.  sein;bernard  pouligny
fumihiro  koike;toshinobu  takayanagi
tadayoshi  doke;terence a. king
k.  arnett;d. m. blankenship
joachim  reinhardt;gerhard  soff
p. f. müller;w.  schubert
marianne  breinig;fernando  parente
john f. reading;a. lewis ford
peter b. weichman;a. n. kamal
sang hee hong;h. e. wilhelm
malvin h. kalos;joel l. lebowitz
pierre  meystre;mario  gronchi
tfr  group;i.  fidone
george  birnbaum;savo  bratos
m. a. whitehead;s. d. manoli
s. e. kuhn;w.  lindinger
craig j. sansonetti;kenneth l. andrew
p. o. egan;s.  dhawan
william j. childs;leonard s. goodman
richard g. brewer;axel  schenzle
jerry l. peacher;t. j. kvale
a. lewis ford;richard l. becker
h. s. suzuki;toshinobu  takayanagi
joshua (yevsey) zavelovich;jeffrey  bokor
j.  breton;m.  glass-maujean
marcel h. lambert;f.  moussa
robert a. naumann;m. e. schillaci
thomas a. green;edward j. shipsey
noriaki  tsukada;sumiaki  ibuki
b. e. campbell;h. m. epstein
r. d. poliak;michael e. kellman
s. d. rosner;a. g. adam
sergue i. vinitsky;m. s. kaschiev
j. c. macgillivray;michael s. feld
p.  polak-dingels;n.  bras
j. g. mark;c. h. volk
r. e. schwerzel;p. j. mallozzi
n. c. paul;j.  basu
j. n. leboeuf;m.  ashour-abdalla
s.  huldt;erling  veje
m.  hohenstatt;peter e. toschek
p.  loftager;h. h. andersen
h. e. henrikson;kang l. wang
f. j. pichanick;vernon w. hughes
r.  panock;benjamin  lax
c. barros leite;a. g. nader
w. n. lennard;p. h. mokler
wm. r. bennett;salim n. jabr
k.  brau;k. w. hill
mahn won kim;y. c. chou
franz  howorka;ingrid  kuen
martin  dost;p.  schorn
i. j. feng;r. h. pratt
a. k. bhatia;gerald  feinberg
mark d. havey;s. e. frolking
o.  theimer;j. t. hays
w. e. frieze;f. j. pichanick
a. eugene livingston;richard m. schectman
r.  hallin;j.  campos
s. n. ray;mina  vajed-samii
richard a. holt;t. dean gaily
w.  wilhelm;w.  denk
puspajit  mandal;sunanda  guha
a. k. rajagopal;m. v. ramana
j. o. ekberg;bjarne  andresen
young soon kim;h. k. tseng
claudio  leone;p.  cavaliere
james d. talman;g. michael bancroft
p. l. pillet;c.  thibault
duane a. dolejsi;paul w. schmidt
yoshishige  suzuki;hitoshi  nishimura
a. g. de pinho;e. b. justiniano
m. s. powar;salim  ahmad
a.  kuwako;k.  sera
michael s. feld;j. c. macgillivray
m.  vedder;howard c. hayden
roy j. glauber;fritz  haake
j. l. flinner;j. j. chmielewski
george s. brown;gene e. ice
vernon w. hughes;a.  kponou
m.  barat;victor  sidis
ph.  deschepper;laszlo  palffy
anthony c. ladd;richard b. hickman
p.  juncar;c.  thibault
aneesur  rahman;steven w. haan
g.  tsoucaris;j.  navaza
vincent  mckoy;thomas n. rescigno
jean pierre rozet;annie  chetioui
d. m. blankenship;j. m. george
thomas a. carlson;paul r. keller
f. b. dunning;c.  higgs
j. d. knight;m. e. schillaci
a. m.  mårtensson;lawrence  wilets
jean pierre hansen;ian r. mcdonald
d. a. van baak;francis m. pipkin
j. p. grandin;m.  druetta
c.  ebner;d. y. kuan
p. h. mauk;a. p. paszek
s.  röhl;p.  schorn
hans g. dehmelt;w.  neuhauser
robert d. cowan;w.  stodiek
alfred k. mann;e.  navon
g.  nolte;h.  schmidt-böcking
bjarne  andresen;boël  denne
w.  wilhelm;j. j. reidy
s.  hoppenau;j.  kising
juan f. lam;duncan g. steel
s. c. bates;r. c. isler
ole h. olsen;mogens r. samuelsen
michael m. kash;daniel  kleppner
p.  jacquinot;hong tuan duong
edward b. rockower;d. a. kranz
s. e. frolking;mark d. havey
irwin  oppenheim;akira  onuki
lorenz s. cederbaum;j.  kiessling
chiyoe  yamanaka;h.  azechi
dan  dill;j. l. dehmer
daniel c. lu;vernon w. hughes
l. j. schaad;william m. fairbank
neal f. lane;thomas g. winter
richard p. leavitt;terrance l. worchesky
james m. hall;tom j. gray
l. wilmer anderson;mark h. phillips
ivan a. sellin;r. s. peterson
arthur j. schwartz;walter i. goldburg
donald m. cox;eugene j. lauer
david f. phillips;t. e. jackman
w.  stodiek;m.  bitter
samuel a. werner;j. l. staudenmann
j. l. vialle;s.  büttgenbach
m. y. yu;karl h. spatschek
jean rené lalanne;e.  sein
h.  azechi;f.  matsuoka
j. p. chabrat;c.  vaucamps
m. j. coggiola;r. v. hodges
b.  couillaud;james e. lawler
s.  liberman;f.  touchard
m.  ligare;b.  suleman
eric h. pinnington;james a. o'neill
m. r. franz;l. a. wright
nicolaas  bloembergen;h. s. kwok
ali a. antar;l. b. bridwell
hannes  güttinger;david s. cannell
e. g. silver;s.  von goeler
g. l. findley;m. aslam baig
jörg m. eichler;akio  tsuji
george  rosensteel;david j. rowe
e. m. helmy;s. b. woo
tsutomu  watanabe;ken  sasaki
j.  kiessling;lorenz s. cederbaum
jan  popielawski;jan  gryko
werner  brandt;néstor r. arista
daniel  walgraef;pierre  borckmans
marlan o. scully;gerald t. moore
r.  dang;bernardo  jaduszliwer
lorenzo m. narducci;robert  gilmore
takashi  nakayama;sumiaki  ibuki
j. j. benattar;marcel h. lambert
harald  king;roy j. glauber
p. j. martin;k.  arnett
h. p. gush;kazuyoshi  yamada
t. j. tseng;b.  rooney
yukap  hahn;kenneth j. lagattuta
richard r. freeman;jeffrey  bokor
n. b. narozhny;joseph h. eberly
r. s. hozack;kenneth b. mcafee
f.  laperriere;j. h. smart
eugene j. lauer;simon s. yu
m.  glass-maujean;j.  breton
v. c. sutcliffe;john t. park
carl f. melius;donald g. truhlar
k. e. banyard;g. w. shirtcliffe
tom j. gray;brant m. johnson
r. s. peterson;larry d. gardner
edward a. mason;larry a. viehland
f.  langouche;d.  roekaerts
angelo  tartaglia;f.  negro
cecilia  björkman;paul s. bagus
hong tuan duong;p.  juncar
thomas k. holley;chun c. lin
k. a. green;eok k. lee
harris j. silverstone;jiří  Čížek
f. j. hartmann;t.  von egidy
d.  dhuicq;victor  sidis
j.  rouch;c.  vaucamps
john r. cary;a.  bhattacharjee
c. j. david lin;james h. mcguire
peter  salamon;abraham  nitzan
william e. cooke;wolfgang  sandner
carl  nordling;a.  arnesen
richard a. ferrell;r. s. basu
frederick a. grimm;paul r. keller
j. r. rumble;l. c. pitchford
t. darrah thomas;helena  aksela
r. g. rolfes;john s. risley
yumio  morioka;masaaki  nakamura
a.  devin;ph.  gouard
james l. skinner;hans c. andersen
w. w. byszewski;e. e. kunhardt
sidney o. kastner;a. k. bhatia
robert d. cowan;e. g. silver
m.  bitter;d.  eames
a.  pesnelle;p.  jacquinot
j. a. armstrong;k. c. pandey
j. t. shy;william h. wing
p. j. schneider;alfred s. schlachter
russell a. hulse;d. e. post
james e. bayfield;r. s. peterson
vernon w. hughes;edward a. hinds
r. s. hozack;d. j. mcclure
kh rezaul karim;hans  mark
abraham  szöke;j. a. cooper
juhani  väyrynen;t. darrah thomas
s.  röhl;j.  kising
semaan i. salem;a. anil kumar
nicolaas  bloembergen;a. r. bogdan
joseph w. haus;harald  king
martin  dost;j.  kising
r.  deserio;a. eugene livingston
james e. bayfield;peter m. koch
peter  hanggi;adi r. bulsara
yoshishige  suzuki;kohei  yamada
n. v. de castro faria;a. g. nader
c. c. lau;p. w. fung
m.  kamiya;a.  kuwako
e.  bovet;petr  vogel
george l. wong;k. e. miyano
andris t. stelbovics;ian e. mccarthy
j. h. smart;t. s. stein
gerald  feinberg;john  hiller
f. g. mariam;p. o. egan
w. e. kauppila;j. h. smart
y.  sakagami;hirokane  kawakami
e.  redd;k.  arnett
s. k. knudson;walter r. thorson
j. l. dunlap;r. c. isler
bernd  crasemann;mau hsuing chen
g. b. mcmillian;t. h. jeys
walter  greiner;ulrich  heinz
t.  noreland;e.  alvarez
amal k. das;n. c. sil
kenneth j. mcneil;daniel f. walls
n.  bras;john  keller
alex s. green;takahiro  ueda
rudolf h. morf;uriel  frisch
a. r. kunselman;e.  bovet
michael s. feld;d. e. murnick
n. castro faria;j.  remillieux
akio  tsuji;jörg m. eichler
franz  howorka;herbert  störi
g.  winnewisser;r.  guccione-gush
r. c. lind;juan f. lam
h. p. baltes;annabella  selloni
james h. mcguire;p. r. simony
k.  umetani;terumi  nakagawa
hans  mark;mau hsuing chen
w. e. kauppila;y. k. ho
m.  druetta;j. p. buchet
a. k. edwards;k.  inglis
dwight  duston;k. g. whitney
j.  navaza;g.  tsoucaris
j.  fryar;john s. risley
a. b. denison;p. o. egan
w. j. pietsch;donald s. gemmell
kohei  yamada;a.  tamura
e.  borie;m.  leon
s. b. woo;e. m. helmy
d.  eames;robert d. cowan
k.  wakiya;shunsuke  ohtani
d. h. crandall;larry d. gardner
j. a. dagata;s. p. mcglynn
y. k. ho;t. s. stein
richard a. rosenberg;david a. shirley
paolo  schwendimann;h. p. baltes
p. j. martin;v. c. sutcliffe
j. a. tanis;j. e. willis
j.  fryar;m. eugene rudd
f.  moussa;p. c. gane
c.  peugnet;b.  duborgel
e. h. da jornada;d.  dillenburg
p.  pellegrin;p.  lebrun
william h. matthaeus;charles w. smith
david r. herrick;michael e. kellman
charles c. wang;c. m. huang
helmut r. brand;harald  pleiner
j. d. kilkenny;richard w. lee
r. h. pratt;s. c. roy
luigi a. lugiato;mario  gronchi
n.  stolterfoht;r. j. fortner
deborah a. levin;arne w. fliflet
j. l. vomvoridis;phillip  sprangle
j. p. buchet;j. p. grandin
eok k. lee;john j. kozak
dinh  ton-that;lloyd  armstrong
paul  weiss;r.  dang
frederick  raab;harold j. metcalf
john  melngailis;henry i. smith
karol  jankowski;marek  polasik
alex  pines;shimon  vega
i. a. greenwood;philip a. heimann
e.  bovet;j. p. miller
k. a. green;k. d. luks
j. j. reidy;h.  daniel
j. l. vialle;p. l. pillet
m.  bitter;robert d. cowan
k.  sera;a.  kuwako
k.  unnikrishnan;m. a. prasad
natthi  singh;b. s. sood
david e. miller;frithjof  karsch
e.  gürmen;harold d. bale
h. j. kunze;k. h. finken
mau hsuing chen;bernd  crasemann
t.  von egidy;h.  daniel
f.  negro;angelo  tartaglia
alain  catherinot;b.  dubreuil
w. j. pietsch;zeev  vager
michael h. prior;r. d. knight
r. k. bansal;k. n. pathak
f.  boehm;j. l. vuilleumier
s. j. hinterlong;r.  deserio
samir  saha;s. n. ray
rené  pellat;e.  asseo
jean pierre hansen;l.  sjögren
henry p. freund;r. s. schneider
m. v. ramana;mukunda p. das
n.  schaffel;ralph d. hight
s.  rosendorff;a.  birman
j. l. firpo;gilbert  albinet
joseph h. eberly;n. b. narozhny
m.  anderle;davide  bassi
c. m. jones;matthew s. lucas
r. s. peterson;james e. bayfield
ken ichi  kubota;tatsumi  kawaratani
k.  arnett;c. j. david lin
peter m. koch;james e. bayfield
b.  duborgel;c.  peugnet
h. u. rahman;ram k. varma
p. e. chumbley;meera  chandrasekhar
s. j. wilk;t. a. osborn
a.  kuwako;m.  sebata
marco  zoppi;d.  varshneya
aaron  temkin;michael s. pindzola
w.  neuhauser;m.  hohenstatt
c. a. quarles;mars  semaan
e. b. justiniano;cüneyt  can
robert d. cowan;earl s. marmar
o.  vallée;e.  marié
tsutomu  watanabe;takeshi  ishihara
h. p. winter;h. j. andrä
robert l. brooks;eric h. pinnington
noriaki  tsukada;munehiko  nagano
charles k. rhodes;h.  pummer
d.  varshneya;t. a. litovitz
robert m. stehman;s. b. woo
yoram  tal;m. g. levy
magnus  rittby;nils  elander
j. j. der weduwe;quirin f. vrehen
mitsuko  murakami;j. l. dunlap
hermann  grabert;wolfgang  weidlich
hugh e. dewitt;m. f. ross
s. n. singh;awadh n. tripathi
gilles  tarjus;savo  bratos
d.  klimek;b. b. srivastava
svend erik nielsen;john s. dahler
carol a. venanzi;bernard  kirtman
t. a. detemple;j.  osmundsen
kazuyoshi  yamada;h. p. gush
john  hiller;joseph  sucher
thomas a. carlson;john d. allen
n. r. sauthoff;s.  von goeler
b. o. clark;francis m. pipkin
m. d. levenson;stephen j. smith
paolo  schwendimann;antonio  quattropani
j.  aubert;r.  geller
brad lee holian;bill  moran
matthew s. lucas;ali a. antar
e.  redd;j. e. aldag
g.  zannoli;a. r. plastino
k. h. finken;h. j. kunze
jean  désesquelles;j. p. buchet
h. w. reist;g. zu putlitz
walter r. johnson;k. f. huang
a. p. paszek;s. b. woo
phillip r. certain;nimrod  moiseyev
paul w. schmidt;meera  chandrasekhar
n. castro faria;nelson  cue
p. l. altick;johannes  richter
thomas  hoffmann-ostenhof;maria  hoffmann-ostenhof
frank j. crowne;terrance l. worchesky
francis m. pipkin;stephen r. lundeen
gerhard  huber;m.  de saint-simon
a. saint marc;d.  le queau
m.  anderle;salvatore  iannotta
v. m. kenkre;hugh m. van horn
masaaki  nakamura;yumio  morioka
ali e. khalil;frank t. avignone
keith  burnett;earl w. smith
awadh n. tripathi;m. k. srivastava
anand n. nigam;sushma  kothari
lorenz s. cederbaum;jochen  schirmer
l. f. mausner;robert a. naumann
p.  hautojärvi;i.  välimaa
s. c. das;n. c. paul
pierre  meystre;vincenzo g. benza
john b. ketterson;george l. wong
joseph w. haus;guntram  schröder
allen c. dotson;david d. carley
m. l. rustgi;reeta  vyas
carlos  falcon;m.  daskhan
f. t. chan;r. l. day
j. p. downing;t. s. stein
p.  polak-dingels;j  c. gauthier
f. t. hioe;s. r. singh
steven p. ahlen;g.  tarle
r. g. froese;t. a. osborn
r. f. stebbings;t. h. jeys
rajarshi  roy;l.  mandel
kuniko  maeda;masayuki  uda
t. a. osborn;s. j. wilk
r. l. sinclair;john  reid
r. e. schwerzel;h. m. epstein
a. k. bhatia;s.  wakid
j.  pinard;s.  büttgenbach
w.  stodiek;robert d. cowan
s. a. lewis;a.  kponou
p. e. chumbley;paul w. schmidt
alan a. hahn;j. l. vuilleumier
l. m. humphrey;p. f. liao
r.  kutina;elliot p. kanter
a.  tino;bernardo  jaduszliwer
fernando  parente;mau hsiung chen
m. y. yu;ram k. varma
sandor  trajmar;hitoshi  nishimura
a. g. bois;j. j. dupin
naresh  chandra;ranjana  prakash
william b. daniels;p. e. cladis
peter  zoller;p.  lambropoulos
c. m. jones;matt d. brown
j. p. downing;f.  laperriere
y.  poggi;etienne  guyon
louis  dimauro;ting shan luk
arnold  russek;carmen  cisneros
harald  king;joseph w. haus
david c. cartwright;hiroyuki m. tanaka
s. p. mcglynn;j. p. connerade
donald s. gemmell;a. j. ratkowski
franz  howorka;s. e. kuhn
b. r. tambe;warren  ong
zbigniew w. grabowski;frank t. avignone
v.  brückner;p. f. müller
y.  inada;h.  azechi
w.  stodiek;k. w. hill
hiroshi  kashiwagi;takuzo  sato
i.  Čadež;d.  vichon
erwin l. hahn;d. w. dolfi
l. l. balashova;e. s. mashkova
e.  gürmen;p. e. chumbley
n. r. sauthoff;robert d. cowan
n. c. sil;a. c. roy
steven p. ahlen;g.  tarlé
j. m. george;j. e. aldag
peter w. langhoff;n. t. padial
n. w. carlson;arthur l. schawlow
m.  cattani;j. m. bassalo
pamela r. woodruff;manfred o. krause
f. j. pichanick;w. e. frieze
m. s. dababneh;j. p. downing
robert w. hellwarth;s. n. jabr
m. h. key;j. d. kilkenny
s. a. lewis;vernon w. hughes
d. y. wang;wayne d. kimura
jürgen  mlynek;h.  harde
a.  tamura;sadao  nakai
kazunaru  tomishima;sumiaki  ibuki
robert l. brooks;h. gordon berry
thomas f. george;james r. stallcop
raymond j. fonck;frank s. tomkins
jean  désesquelles;j. p. grandin
p. l. altick;robert  yaris
j. c. camparo;natarajan d. bhaskar
j.  van laak;j. f. giuliani
r. l. champion;l. d. doverspike
maritta  kellokumpu;seppo  aksela
c. r. mandal;s. c. mukherjee
bernard  laskowski;thomas f. george
ch.  stoller;j. f. chemin
arthur y. sakakura;wesley e. brittin
kenneth j. mcneil;peter d. drummond
j. m. george;p. j. martin
thomas f. george;paul l. devries
m. h. salamon;k. c. crebbin
p. m. guyon;m.  glass-maujean
r. v. ribas;wayne a. seale
t. s. stein;f.  laperriere
s. c. chung;thomas k. holley
r. c. elton;r. h. dixon
kazem  omidvar;t. s. ho
gilbert  albinet;j. j. dupin
philip a. heimann;j. h. simpson
tsutomu  watanabe;junya  mizuno
a. k. barua;samir  saha
g. l. henderson;david w. allender
zeev  vager;w. j. pietsch
w. e. meyerhot;robert  anholt
w.  wilhelm;h.  daniel
duncan g. steel;juan f. lam
robert a. smith;phillip  sprangle
n. t. padial;peter w. langhoff
alain  denis;j. p. grandin
andrew m. zangwill;paul  soven
k. n. pathak;g. s. dubey
m. c. downer;a. r. bogdan
k.  brau;d.  eames
g. zu putlitz;h.  orth
l.  foreman;p. h. kleban
p. h. edmonds;s. c. bates
raymond d. mountain;steven w. haan
l. c. davis;l. a. feldkamp
brant m. johnson;c. j. david lin
harry l. frisch;pat  sofinski
fred w. meyer;d. h. crandall
william g. hoover;richard b. hickman
darryl lyle smith;n. g. adams
carl  nordling;j.  campos
martin  dost;s.  hoppenau
hans  kleinpoppen;i.  mcgregor
alexander  tenenbaum;guido lo vecchio
kh rezaul karim;bernd  crasemann
daniel m. kroll;j. m. ruhland
jonathan  roth;pat  sofinski
tomoya  akiba;takashi  nakayama
s. l. lin;edward a. mason
p.  juncar;s.  liberman
h.  ramler;franz  howorka
n. c. sil;amal k. das
y. k. ho;j. p. downing
j. l. dunlap;p. h. edmonds
r. m. measures;p. g. cardinal
r. g. rolfes;keith b. macadam
james w. taylor;frederick a. grimm
j. s. chang;r. m. hobson
charles  rosenblatt;david m. ronis
gonzalo  gutiérrez;g.  zannoli
luiz  davidovich;nicim  zagury
p. o. egan;a. b. denison
jan r. rubbmark;michael m. kash
philip w. coulter;b. g. ritchie
r. l. watson;r. a. kenefick
c.  higgs;e. j. beiting
v.  nardi;w.  prior
michael s. pindzola;steven l. carter
d.  varshneya;marco  zoppi
phillip  sprangle;d.  dillenburg
david  lieberman;harold j. metcalf
victor  sidis;j.  pommier
l. k. lam;william  happer
m.  de saint-simon;gerhard  huber
